[START] Reading GenBank input...
[START] Loaded 1 record(s).
[RECORD] Processing record 1/1: 1
[CHANGED] standard_name=dnaA CDS | location=635-2054(+) | final_gene=dnaA | final_product=chromosomal replication initiator protein DnaA | resolution=no_change
[CHANGED] standard_name=protein kinase CDS | location=1250276-1251764(+) | final_gene=spkB | final_product=protein kinase | resolution=uniprot_product_to_gene:spkB:24,cpsD:9,ywqD:6,pknA:3,prkC:3
[UNRESOLVED] standard_name=NAD-dependent epimerase/dehydratase family protein CDS | location=1252174-1253113(-) | final_gene=unknown_gene | final_product=NAD-dependent epimerase/dehydratase family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=peptidoglycan D,D-transpeptidase FtsI family protein CDS | location=1253298-1255308(+) | final_gene=unknown_gene | final_product=peptidoglycan D,D-transpeptidase FtsI family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=fused MFS/spermidine synthase CDS | location=1255357-1257748(-) | final_gene=unknown_gene | final_product=fused MFS/spermidine synthase | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=TRC40/GET3/ArsA family transport-energizing ATPase CDS | location=1258173-1259364(-) | final_gene=unknown_gene | final_product=TRC40/GET3/ArsA family transport-energizing ATPase | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=DUF2358 domain-containing protein CDS | location=1259470-1259869(-) | final_gene=unknown_gene | final_product=DUF2358 domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=AAA family ATPase CDS | location=1260463-1265878(+) | final_gene=unknown_gene | final_product=AAA family ATPase | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=aminopeptidase P family protein CDS | location=1266012-1267398(+) | final_gene=unknown_gene | final_product=aminopeptidase P family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=GAF domain-containing protein CDS | location=1267477-1269496(-) | final_gene=unknown_gene | final_product=GAF domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=peptide ABC transporter substrate-binding protein CDS | location=1270016-1271804(+) | final_gene=unknown_gene | final_product=peptide ABC transporter substrate-binding protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=ftsH CDS | location=1273473-1275567(-) | final_gene=ftsH | final_product=ATP-dependent zinc metalloprotease FtsH | resolution=no_change
[CHANGED] standard_name=groL CDS | location=1276007-1277723(+) | final_gene=groL | final_product=chaperonin GroEL | resolution=no_change
[CHANGED] standard_name=phycobilisome rod-core linker polypeptide CDS | location=1278178-1278940(-) | final_gene=cpcG | final_product=phycobilisome rod-core linker polypeptide | resolution=uniprot_product_to_gene:cpcG:34,cpcG2:14,cpcG1:9,cpcG3:6,cpcG4:6
[CHANGED] standard_name=phycobiliprotein lyase CDS | location=1279393-1280011(-) | final_gene=cpcS1 | final_product=phycobiliprotein lyase | resolution=uniprot_product_to_gene:cpcS1:1
[UNRESOLVED] standard_name=LCP family protein CDS | location=1281633-1283022(+) | final_gene=unknown_gene | final_product=LCP family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=DICT sensory domain-containing protein CDS | location=1283252-1285217(-) | final_gene=unknown_gene | final_product=DICT sensory domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=glycosyltransferase family 2 protein CDS | location=1285516-1286380(-) | final_gene=unknown_gene | final_product=glycosyltransferase family 2 protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=HpsJ family protein CDS | location=1286701-1287475(-) | final_gene=unknown_gene | final_product=HpsJ family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=HpsJ family protein CDS | location=1287607-1288420(-) | final_gene=unknown_gene | final_product=HpsJ family protein | resolution=fallback_unknown_gene
[UNCHANGED] standard_name=pgl CDS | location=1288865-1289747(+) | final_gene=pgl | final_product=6-phosphogluconolactonase | resolution=no_change
[CHANGED] standard_name=pgl gene | location=1288865-1289747(+) | final_gene=pgl | final_product=pgl gene | resolution=no_change
[UNRESOLVED] standard_name=FHA domain-containing protein CDS | location=1289884-1290631(+) | final_gene=unknown_gene | final_product=FHA domain-containing protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=single-stranded DNA-binding protein CDS | location=1291115-1291493(+) | final_gene=ssb | final_product=single-stranded DNA-binding protein | resolution=uniprot_product_to_gene:ssb:368,ssbB:10,ssb1:8,ssb2:3
[UNCHANGED] standard_name=nusB CDS | location=1291780-1292419(+) | final_gene=nusB | final_product=Transcription antitermination protein NusB | resolution=no_change
[CHANGED] standard_name=nusB gene | location=1291780-1292419(+) | final_gene=nusB | final_product=nusB gene | resolution=no_change
[UNCHANGED] standard_name=ftsY CDS | location=1292494-1294219(+) | final_gene=ftsY | final_product=Signal recognition particle receptor FtsY | resolution=no_change
[CHANGED] standard_name=ftsY gene | location=1292494-1294219(+) | final_gene=ftsY | final_product=ftsY gene | resolution=no_change
[UNRESOLVED] standard_name=PP2C family protein-serine/threonine phosphatase CDS | location=1294392-1295901(+) | final_gene=unknown_gene | final_product=PP2C family protein-serine/threonine phosphatase | resolution=fallback_unknown_gene
[UNCHANGED] standard_name=argH CDS | location=1296475-1297891(+) | final_gene=argH | final_product=Argininosuccinate lyase | resolution=no_change
[CHANGED] standard_name=argH gene | location=1296475-1297891(+) | final_gene=argH | final_product=argH gene | resolution=no_change
[UNRESOLVED] standard_name=DUF4079 domain-containing protein CDS | location=1297898-1298366(-) | final_gene=unknown_gene | final_product=DUF4079 domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=DUF1830 domain-containing protein CDS | location=1298664-1299024(-) | final_gene=unknown_gene | final_product=DUF1830 domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=photosystem II high light acclimation radical SAM protein CDS | location=1299704-1301282(+) | final_gene=unknown_gene | final_product=photosystem II high light acclimation radical SAM protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=DUF3747 domain-containing protein CDS | location=1301927-1302587(-) | final_gene=unknown_gene | final_product=DUF3747 domain-containing protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=glutathione peroxidase CDS | location=1303118-1303604(-) | final_gene=btuE | final_product=glutathione peroxidase | resolution=uniprot_product_to_gene:btuE:30,gpx1:10,ctuE:5,gpx:5,gpx2:5
[CHANGED] standard_name=peroxiredoxin CDS | location=1303689-1304145(-) | final_gene=bcp | final_product=peroxiredoxin | resolution=uniprot_product_to_gene:bcp:45,PRXQ:6,prxU:6,ygaF:6,ccp:5
[UNCHANGED] standard_name=psbM CDS | location=1306300-1306414(+) | final_gene=psbM | final_product=Photosystem II reaction center protein M | resolution=no_change
[CHANGED] standard_name=psbM gene | location=1306300-1306414(+) | final_gene=psbM | final_product=psbM gene | resolution=no_change
[UNRESOLVED] standard_name=alanine--glyoxylate aminotransferase family protein CDS | location=1307025-1308171(+) | final_gene=unknown_gene | final_product=alanine--glyoxylate aminotransferase family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=alpha/beta hydrolase CDS | location=1308328-1310467(+) | final_gene=unknown_gene | final_product=alpha/beta hydrolase | resolution=fallback_unknown_gene
[CHANGED] standard_name=alaS CDS | location=1311550-1314187(+) | final_gene=alaS | final_product=alanine--tRNA ligase | resolution=no_change
[UNRESOLVED] standard_name=PIN domain-containing protein CDS | location=1314796-1315408(+) | final_gene=unknown_gene | final_product=PIN domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=Uma2 family endonuclease CDS | location=1315498-1316167(+) | final_gene=unknown_gene | final_product=Uma2 family endonuclease | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=DUF2199 domain-containing protein CDS | location=1316208-1316727(-) | final_gene=unknown_gene | final_product=DUF2199 domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=nucleotidyltransferase family protein CDS | location=1317465-1317801(-) | final_gene=unknown_gene | final_product=nucleotidyltransferase family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=XisI protein CDS | location=1317859-1318213(-) | final_gene=unknown_gene | final_product=XisI protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=element excision factor XisH family protein CDS | location=1318200-1318617(-) | final_gene=unknown_gene | final_product=element excision factor XisH family protein | resolution=fallback_unknown_gene
[UNCHANGED] standard_name=mnmG CDS | location=1319389-1321321(-) | final_gene=mnmG | final_product=tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG | resolution=no_change
[CHANGED] standard_name=mnmG gene | location=1319389-1321321(-) | final_gene=mnmG | final_product=mnmG gene | resolution=no_change
[UNRESOLVED] standard_name=lysostaphin resistance A-like protein CDS | location=1321484-1322366(-) | final_gene=unknown_gene | final_product=lysostaphin resistance A-like protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=glycosyltransferase family 2 protein CDS | location=1323130-1324093(-) | final_gene=unknown_gene | final_product=glycosyltransferase family 2 protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=RNA polymerase sigma factor, RpoD/SigA family CDS | location=1324419-1325376(-) | final_gene=unknown_gene | final_product=RNA polymerase sigma factor, RpoD/SigA family | resolution=fallback_unknown_gene
[CHANGED] standard_name=glgA CDS | location=1325853-1327305(+) | final_gene=glgA | final_product=glycogen synthase GlgA | resolution=no_change
[UNRESOLVED] standard_name=diacylglycerol/polyprenol kinase family protein CDS | location=1329275-1329977(+) | final_gene=unknown_gene | final_product=diacylglycerol/polyprenol kinase family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=Mo-dependent nitrogenase C-terminal domain-containing protein CDS | location=1330023-1330284(-) | final_gene=unknown_gene | final_product=Mo-dependent nitrogenase C-terminal domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=HAD family hydrolase CDS | location=1331458-1332196(+) | final_gene=unknown_gene | final_product=HAD family hydrolase | resolution=fallback_unknown_gene
[UNCHANGED] standard_name=def CDS | location=1332638-1333202(-) | final_gene=def | final_product=Peptide deformylase | resolution=no_change
[CHANGED] standard_name=def gene | location=1332638-1333202(-) | final_gene=def | final_product=def gene | resolution=no_change
[UNRESOLVED] standard_name=HHL1-like protein CDS | location=1334103-1334544(-) | final_gene=unknown_gene | final_product=HHL1-like protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=anhydro-N-acetylmuramic acid kinase CDS | location=1334606-1335797(-) | final_gene=anmK | final_product=anhydro-N-acetylmuramic acid kinase | resolution=uniprot_product_to_gene:anmK:1000
[UNRESOLVED] standard_name=RecB family exonuclease CDS | location=1335947-1336751(+) | final_gene=unknown_gene | final_product=RecB family exonuclease | resolution=fallback_unknown_gene
[CHANGED] standard_name=ferrochelatase CDS | location=1336761-1338012(-) | final_gene=hemH | final_product=ferrochelatase | resolution=uniprot_product_to_gene:hemH:965
[UNRESOLVED] standard_name=CHAD domain-containing protein CDS | location=1339125-1340151(-) | final_gene=unknown_gene | final_product=CHAD domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=TIGR00297 family protein CDS | location=1340060-1340864(-) | final_gene=unknown_gene | final_product=TIGR00297 family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=VOC family protein CDS | location=1341012-1341486(+) | final_gene=unknown_gene | final_product=VOC family protein | resolution=fallback_unknown_gene
[UNCHANGED] standard_name=pheS CDS | location=1342538-1343543(+) | final_gene=pheS | final_product=Phenylalanine--tRNA ligase alpha subunit | resolution=no_change
[CHANGED] standard_name=pheS gene | location=1342538-1343543(+) | final_gene=pheS | final_product=pheS gene | resolution=no_change
[UNCHANGED] standard_name=coaX CDS | location=1343861-1344317(+) | final_gene=coaX | final_product=Type III pantothenate kinase | resolution=no_change
[UNRESOLVED] standard_name=coaX gene | location=1343861-1344317(+) | final_gene=unknown_gene | final_product=coaX gene | resolution=fallback_unknown_gene
[UNCHANGED] standard_name=yohF CDS | location=1344690-1345464(+) | final_gene=yohF | final_product=putative oxidoreductase YohF | resolution=no_change
[UNCHANGED] standard_name=purU CDS | location=1346058-1347135(-) | final_gene=purU | final_product=Formyltetrahydrofolate deformylase | resolution=no_change
[CHANGED] standard_name=purU gene | location=1346058-1347135(-) | final_gene=purU | final_product=purU gene | resolution=no_change
[UNRESOLVED] standard_name=element excision factor XisI family protein CDS | location=1347234-1347573(-) | final_gene=unknown_gene | final_product=element excision factor XisI family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=element excision factor XisH family protein CDS | location=1347551-1347746(-) | final_gene=unknown_gene | final_product=element excision factor XisH family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=DUF2283 domain-containing protein CDS | location=1347889-1348114(-) | final_gene=unknown_gene | final_product=DUF2283 domain-containing protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=tetratricopeptide repeat protein CDS | location=1348778-1351532(-) | final_gene=fxsT | final_product=tetratricopeptide repeat protein | resolution=uniprot_product_to_gene:fxsT:3
[UNRESOLVED] standard_name=DUF29 domain-containing protein CDS | location=1351528-1351987(-) | final_gene=unknown_gene | final_product=DUF29 domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=DUF4340 domain-containing protein CDS | location=1352632-1353313(-) | final_gene=unknown_gene | final_product=DUF4340 domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=GldG family protein CDS | location=1353326-1355090(-) | final_gene=unknown_gene | final_product=GldG family protein | resolution=fallback_unknown_gene
