standard_name	issue	gene_feature_gene	gene_feature_product	cds_feature_gene	cds_feature_product	final_gene	final_product	resolution
PhoH family protein CDS	resolution				PhoH family protein	unknown_gene	PhoH family protein	fallback_unknown_gene
IS5 family transposase ISCaa3 CDS	resolution				IS5 family transposase ISCaa3	unknown_gene	IS5 family transposase ISCaa3	fallback_unknown_gene
IS5 family transposase ISCaa3 gene	resolution					unknown_gene	IS5 family transposase ISCaa3 gene	fallback_unknown_gene
ycf3 12 CDS	resolution			ycf3_12	Photosystem I assembly protein Ycf3	ycf3	Photosystem I assembly protein Ycf3	uniprot_product_to_gene:ycf3:895,ycf:55
NAD(P)-dependent oxidoreductase CDS	resolution				NAD(P)-dependent oxidoreductase	unknown_gene	NAD(P)-dependent oxidoreductase	fallback_unknown_gene
photosystem I reaction center subunit XI CDS	resolution				photosystem I reaction center subunit XI	psaL	photosystem I reaction center subunit XI	uniprot_product_to_gene:psaL:805
Photosystem I reaction center subunit III CDS	resolution				Photosystem I reaction center subunit III	psaF	Photosystem I reaction center subunit III	uniprot_product_to_gene:psaF:240
sensor histidine kinase CDS	resolution				sensor histidine kinase	sasA	sensor histidine kinase	uniprot_product_to_gene:sasA:152,hik2:6,rppB:3
ATP-binding protein CDS	resolution				ATP-binding protein	chlL	ATP-binding protein	uniprot_product_to_gene:chlL:348,pstB:39,bchL:36,pstB1:18,pstB2:18
ABC transporter substrate-binding protein CDS	resolution				ABC transporter substrate-binding protein	modA	ABC transporter substrate-binding protein	uniprot_product_to_gene:modA:126,proX:12,zam:6,urtA:5
GNAT family N-acetyltransferase CDS	resolution				GNAT family N-acetyltransferase	unknown_gene	GNAT family N-acetyltransferase	fallback_unknown_gene
ferredoxin CDS	resolution				ferredoxin	sir	ferredoxin	uniprot_product_to_gene:sir:93,ispG:75,pcyA:75,pebB:60,pebA:57
DUF1257 domain-containing protein CDS	resolution				DUF1257 domain-containing protein	unknown_gene	DUF1257 domain-containing protein	fallback_unknown_gene
DUF2997 domain-containing protein CDS	resolution				DUF2997 domain-containing protein	unknown_gene	DUF2997 domain-containing protein	fallback_unknown_gene
saccharopine dehydrogenase-like oxidoreductase CDS	resolution				saccharopine dehydrogenase-like oxidoreductase	unknown_gene	saccharopine dehydrogenase-like oxidoreductase	fallback_unknown_gene
ABC transporter permease CDS	resolution				ABC transporter permease	modB	ABC transporter permease	uniprot_product_to_gene:modB:45,cysW:33,ntrB:9
DUF456 domain-containing protein CDS	resolution				DUF456 domain-containing protein	unknown_gene	DUF456 domain-containing protein	fallback_unknown_gene
HupE/UreJ family protein CDS	resolution				HupE/UreJ family protein	unknown_gene	HupE/UreJ family protein	fallback_unknown_gene
DUF1636 domain-containing protein CDS	resolution				DUF1636 domain-containing protein	unknown_gene	DUF1636 domain-containing protein	fallback_unknown_gene
Gfo/Idh/MocA family protein CDS	resolution				Gfo/Idh/MocA family protein	unknown_gene	Gfo/Idh/MocA family protein	fallback_unknown_gene
Tfp pilus assembly protein FimT/FimU CDS	resolution				Tfp pilus assembly protein FimT/FimU	unknown_gene	Tfp pilus assembly protein FimT/FimU	fallback_unknown_gene
AAA family ATPase CDS	resolution				AAA family ATPase	unknown_gene	AAA family ATPase	fallback_unknown_gene
heme NO-binding domain-containing protein CDS	resolution				heme NO-binding domain-containing protein	unknown_gene	heme NO-binding domain-containing protein	fallback_unknown_gene
ATP-binding protein CDS	resolution				ATP-binding protein	chlL	ATP-binding protein	uniprot_product_to_gene:chlL:348,pstB:39,bchL:36,pstB1:18,pstB2:18
DNA cytosine methyltransferase CDS	resolution				DNA cytosine methyltransferase	unknown_gene	DNA cytosine methyltransferase	fallback_unknown_gene
Gfo/Idh/MocA family oxidoreductase CDS	resolution				Gfo/Idh/MocA family oxidoreductase	unknown_gene	Gfo/Idh/MocA family oxidoreductase	fallback_unknown_gene
ABC transporter permease CDS	resolution				ABC transporter permease	modB	ABC transporter permease	uniprot_product_to_gene:modB:45,cysW:33,ntrB:9
ATP-binding cassette domain-containing protein CDS	resolution				ATP-binding cassette domain-containing protein	unknown_gene	ATP-binding cassette domain-containing protein	fallback_unknown_gene
DUF2325 domain-containing protein CDS	resolution				DUF2325 domain-containing protein	unknown_gene	DUF2325 domain-containing protein	fallback_unknown_gene
aldo/keto reductase CDS	resolution				aldo/keto reductase	unknown_gene	aldo/keto reductase	fallback_unknown_gene
TerB family tellurite resistance protein CDS	resolution				TerB family tellurite resistance protein	unknown_gene	TerB family tellurite resistance protein	fallback_unknown_gene
M20 family metallopeptidase CDS	resolution				M20 family metallopeptidase	unknown_gene	M20 family metallopeptidase	fallback_unknown_gene
CBS domain-containing protein CDS	resolution				CBS domain-containing protein	unknown_gene	CBS domain-containing protein	fallback_unknown_gene
nth 1 CDS	resolution			nth_1	Endonuclease III	nth	Endonuclease III	uniprot_product_to_gene:nth:985,end3:5
gamma-glutamyl-phosphate reductase CDS	resolution				gamma-glutamyl-phosphate reductase	argC	gamma-glutamyl-phosphate reductase	uniprot_product_to_gene:argC:483,proA:155,hisH:6,argC1:3,argC2:3
polyribonucleotide nucleotidyltransferase CDS	resolution				polyribonucleotide nucleotidyltransferase	pnp	polyribonucleotide nucleotidyltransferase	uniprot_product_to_gene:pnp:990
DUF2203 domain-containing protein CDS	resolution				DUF2203 domain-containing protein	unknown_gene	DUF2203 domain-containing protein	fallback_unknown_gene
RNA-guided endonuclease InsQ/TnpB family protein CDS	resolution				RNA-guided endonuclease InsQ/TnpB family protein	unknown_gene	RNA-guided endonuclease InsQ/TnpB family protein	fallback_unknown_gene
peroxiredoxin CDS	resolution				peroxiredoxin	bcp	peroxiredoxin	uniprot_product_to_gene:bcp:45,PRXQ:6,prxU:6,ygaF:6,ccp:5
NAD(P)H-quinone oxidoreductase subunit O CDS	resolution				NAD(P)H-quinone oxidoreductase subunit O	ndhO	NAD(P)H-quinone oxidoreductase subunit O	uniprot_product_to_gene:ndhO:1000
methyltransferase domain-containing protein CDS	resolution				methyltransferase domain-containing protein	hasC	methyltransferase domain-containing protein	uniprot_product_to_gene:hasC:5,hemK:5
peptidylprolyl isomerase CDS	resolution				peptidylprolyl isomerase	prsA	peptidylprolyl isomerase	uniprot_product_to_gene:prsA:10,surA:5,tig:5
ABC transporter transmembrane domain-containing protein CDS	resolution				ABC transporter transmembrane domain-containing protein	unknown_gene	ABC transporter transmembrane domain-containing protein	fallback_unknown_gene
HlyD family efflux transporter periplasmic adaptor subunit CDS	resolution				HlyD family efflux transporter periplasmic adaptor subunit	unknown_gene	HlyD family efflux transporter periplasmic adaptor subunit	fallback_unknown_gene
ArnT family glycosyltransferase CDS	resolution				ArnT family glycosyltransferase	unknown_gene	ArnT family glycosyltransferase	fallback_unknown_gene
glycosyltransferase CDS	resolution				glycosyltransferase	ftsW	glycosyltransferase	uniprot_product_to_gene:ftsW:78,spoVE:3
glucose-1-phosphate thymidylyltransferase CDS	resolution				glucose-1-phosphate thymidylyltransferase	rfbA	glucose-1-phosphate thymidylyltransferase	uniprot_product_to_gene:rfbA:335,rmlA:30,strD:10,oleS:5
diguanylate cyclase CDS	resolution				diguanylate cyclase	dosC	diguanylate cyclase	uniprot_product_to_gene:dosC:3
Hsp70 family protein CDS	resolution				Hsp70 family protein	unknown_gene	Hsp70 family protein	fallback_unknown_gene
thioredoxin family protein CDS	resolution				thioredoxin family protein	trxA	thioredoxin family protein	uniprot_product_to_gene:trxA:5,txlA:5
flavin prenyltransferase UbiX CDS	resolution				flavin prenyltransferase UbiX	ubiX	flavin prenyltransferase UbiX	uniprot_product_to_gene:ubiX:990,bsdB:5
phosphoribulokinase CDS	resolution				phosphoribulokinase	prk	phosphoribulokinase	uniprot_product_to_gene:prk:55,prkB:35,cbbP:10,udk:10
PAS domain S-box protein CDS	resolution				PAS domain S-box protein	unknown_gene	PAS domain S-box protein	fallback_unknown_gene
cation diffusion facilitator family transporter CDS	resolution				cation diffusion facilitator family transporter	fieF	cation diffusion facilitator family transporter	uniprot_product_to_gene:fieF:5
DUF928 domain-containing protein CDS	resolution				DUF928 domain-containing protein	unknown_gene	DUF928 domain-containing protein	fallback_unknown_gene
CHASE2 domain-containing protein CDS	resolution				CHASE2 domain-containing protein	unknown_gene	CHASE2 domain-containing protein	fallback_unknown_gene
cyclic nucleotide-binding domain-containing protein CDS	resolution				cyclic nucleotide-binding domain-containing protein	OspT1	cyclic nucleotide-binding domain-containing protein	uniprot_product_to_gene:OspT1:10
DUF2605 domain-containing protein CDS	resolution				DUF2605 domain-containing protein	unknown_gene	DUF2605 domain-containing protein	fallback_unknown_gene
DUF2973 domain-containing protein CDS	resolution				DUF2973 domain-containing protein	unknown_gene	DUF2973 domain-containing protein	fallback_unknown_gene
tetratricopeptide repeat protein CDS	resolution				tetratricopeptide repeat protein	fxsT	tetratricopeptide repeat protein	uniprot_product_to_gene:fxsT:3
polysaccharide deacetylase family protein CDS	resolution				polysaccharide deacetylase family protein	unknown_gene	polysaccharide deacetylase family protein	fallback_unknown_gene
alpha/beta fold hydrolase CDS	resolution				alpha/beta fold hydrolase	unknown_gene	alpha/beta fold hydrolase	fallback_unknown_gene
DUF760 domain-containing protein CDS	resolution				DUF760 domain-containing protein	unknown_gene	DUF760 domain-containing protein	fallback_unknown_gene
DUF2949 domain-containing protein CDS	resolution				DUF2949 domain-containing protein	unknown_gene	DUF2949 domain-containing protein	fallback_unknown_gene
ABC transporter permease CDS	resolution				ABC transporter permease	modB	ABC transporter permease	uniprot_product_to_gene:modB:45,cysW:33,ntrB:9
lysophospholipid acyltransferase family protein CDS	resolution				lysophospholipid acyltransferase family protein	unknown_gene	lysophospholipid acyltransferase family protein	fallback_unknown_gene
DUF433 domain-containing protein CDS	resolution				DUF433 domain-containing protein	unknown_gene	DUF433 domain-containing protein	fallback_unknown_gene
DUF5615 family PIN-like protein CDS	resolution				DUF5615 family PIN-like protein	unknown_gene	DUF5615 family PIN-like protein	fallback_unknown_gene
trpB CDS	resolution			trpB_2	Tryptophan synthase beta chain	trpB	Tryptophan synthase beta chain	uniprot_product_to_gene:trpB:950,trpB1:8,trpB2:8,fisI5:5
sulfotransferase family protein CDS	resolution				sulfotransferase family protein	unknown_gene	sulfotransferase family protein	fallback_unknown_gene
Calx-beta domain-containing protein CDS	resolution				Calx-beta domain-containing protein	unknown_gene	Calx-beta domain-containing protein	fallback_unknown_gene
tatA 2 CDS	resolution			tatA_2	Sec-independent protein translocase protein TatA	tatA	Sec-independent protein translocase protein TatA	uniprot_product_to_gene:tatA:935,tatAy:25,tatAd:20,tatA1:3,tatA2:3
recF 3 CDS	resolution			recF_3	DNA replication and repair protein RecF	recF	DNA replication and repair protein RecF	uniprot_product_to_gene:recF:960
zinc-dependent alcohol dehydrogenase family protein CDS	resolution				zinc-dependent alcohol dehydrogenase family protein	unknown_gene	zinc-dependent alcohol dehydrogenase family protein	fallback_unknown_gene
Uma2 family endonuclease CDS	resolution				Uma2 family endonuclease	unknown_gene	Uma2 family endonuclease	fallback_unknown_gene
Uma2 family endonuclease CDS	resolution				Uma2 family endonuclease	unknown_gene	Uma2 family endonuclease	fallback_unknown_gene
glycosyltransferase family 39 protein CDS	resolution				glycosyltransferase family 39 protein	unknown_gene	glycosyltransferase family 39 protein	fallback_unknown_gene
protochlorophyllide reductase CDS	resolution				protochlorophyllide reductase	chlB	protochlorophyllide reductase	uniprot_product_to_gene:chlB:111,chlL:105,por:96,chlN:90,pcr:10
tRNA-Met gene	resolution					unknown_gene	tRNA-Met gene	fallback_unknown_gene
cobyric acid synthase CDS	resolution				cobyric acid synthase	cobQ	cobyric acid synthase	uniprot_product_to_gene:cobQ:980,cobB:10,cbiP:5
Calx-beta domain-containing protein CDS	resolution				Calx-beta domain-containing protein	unknown_gene	Calx-beta domain-containing protein	fallback_unknown_gene
Calx-beta domain-containing protein CDS	resolution				Calx-beta domain-containing protein	unknown_gene	Calx-beta domain-containing protein	fallback_unknown_gene
ABC transporter permease CDS	resolution	macB 4		macB 4	ABC transporter permease	modB	ABC transporter permease	uniprot_product_to_gene:modB:45,cysW:33,ntrB:9
SMI1/KNR4 family protein CDS	resolution				SMI1/KNR4 family protein	unknown_gene	SMI1/KNR4 family protein	fallback_unknown_gene
DUF6331 family protein CDS	resolution				DUF6331 family protein	unknown_gene	DUF6331 family protein	fallback_unknown_gene
ferredoxin CDS	resolution				ferredoxin	sir	ferredoxin	uniprot_product_to_gene:sir:93,ispG:75,pcyA:75,pebB:60,pebA:57
NAD(P)-dependent alcohol dehydrogenase CDS	resolution	Alcohol dehydrogenase		Alcohol dehydrogenase	NAD(P)-dependent alcohol dehydrogenase	adhA	NAD(P)-dependent alcohol dehydrogenase	uniprot_product_to_gene:adhA:5
tetratricopeptide repeat protein CDS	resolution				tetratricopeptide repeat protein	fxsT	tetratricopeptide repeat protein	uniprot_product_to_gene:fxsT:3
Uma2 family endonuclease CDS	resolution				Uma2 family endonuclease	unknown_gene	Uma2 family endonuclease	fallback_unknown_gene
HesB/IscA family protein CDS	resolution				HesB/IscA family protein	unknown_gene	HesB/IscA family protein	fallback_unknown_gene
DUF3727 domain-containing protein CDS	resolution				DUF3727 domain-containing protein	unknown_gene	DUF3727 domain-containing protein	fallback_unknown_gene
YqeG family HAD IIIA-type phosphatase CDS	resolution				YqeG family HAD IIIA-type phosphatase	unknown_gene	YqeG family HAD IIIA-type phosphatase	fallback_unknown_gene
NAD(P)H dehydrogenase subunit NdhS CDS	resolution				NAD(P)H dehydrogenase subunit NdhS	unknown_gene	NAD(P)H dehydrogenase subunit NdhS	fallback_unknown_gene
HAS-barrel domain-containing protein CDS	resolution				HAS-barrel domain-containing protein	unknown_gene	HAS-barrel domain-containing protein	fallback_unknown_gene
response regulator transcription factor CDS	resolution				response regulator transcription factor	unknown_gene	response regulator transcription factor	fallback_unknown_gene
